eng,tid,fam,reg,bid,shape,med_ms,iqr_ms,out,work,agm,rt_agm,work_agm,agm_out,status
duck,P2,path,hub,16,acyclic,26.942,0.704,515663,,1708916769,0,,3314.019,ok
duck,P2,path,hub,17,acyclic,26.463,0.187,511091,,1641332490,0,,3211.429,ok
duck,P2,path,hub,18,acyclic,26.687,0.508,500906,,1794431571,0,,3582.372,ok
duck,P2,path,hub,19,acyclic,22.261,0.385,340339,,1375133187,0,,4040.481,ok
duck,P2,path,hub,20,acyclic,22.547,0.982,338846,,1550300604,0,,4575.237,ok
duck,P3,path,uniform,1,acyclic,1560.489,78.464,168083126,,991695849,0,,5.9,ok
duck,P3,path,uniform,2,acyclic,702.118,94.914,69592292,,419298384,0,,6.025,ok
duck,P3,path,uniform,3,acyclic,20.662,0.287,40894,,1379271,0,,33.728,ok
duck,P3,path,uniform,4,acyclic,390.075,7.602,29071800,,595845072,0,,20.496,ok
duck,P3,path,uniform,5,acyclic,105.61,14.651,3999070,,147581997,0,,36.904,ok
duck,P3,path,uniform,6,acyclic,19.101,1.588,63906,,16551252,0,,258.994,ok
duck,P3,path,uniform,7,acyclic,337.841,36.813,19227628,,713083107,0,,37.086,ok
duck,P3,path,uniform,8,acyclic,22.453,0.544,86540,,2758542,0,,31.876,ok
duck,P3,path,uniform,9,acyclic,25.366,1.522,86540,,2758542,0,,31.876,ok
duck,P3,path,uniform,10,acyclic,204.785,12.267,6130831,,597224343,0,,97.413,ok
duck,P3,path,uniform,11,acyclic,23.912,0.675,50170,,8275626,0,,164.952,ok
duck,P3,path,uniform,12,acyclic,288.037,20.485,9684766,,830321142,0,,85.735,ok
duck,P3,path,uniform,13,acyclic,67.643,7.803,1184800,,252406593,0,,213.037,ok
duck,P3,path,uniform,14,acyclic,82.868,11.039,1421962,,336542124,0,,236.674,ok
duck,P3,path,uniform,15,acyclic,17.699,1.68,13259,,2758542,0,,208.051,ok
duck,P3,path,uniform,16,acyclic,49.144,9.954,671337,,219304089,0,,326.668,ok
duck,P3,path,uniform,17,acyclic,36.06,1.953,304651,,164133249,0,,538.758,ok
duck,P3,path,uniform,18,acyclic,23.768,0.579,79566,,38619588,0,,485.378,ok
duck,P3,path,uniform,19,acyclic,23.133,0.559,11776,,41378130,0,,3513.768,ok
duck,P3,path,uniform,20,acyclic,23.813,1.445,54,,9654897,0,,178794.389,ok
duck,P3,path,hub,1,acyclic,2123.76,18.84,247305426,,1468923615,0,,5.94,ok
duck,P3,path,hub,2,acyclic,2734.027,53.848,309023407,,1955806278,0,,6.329,ok
duck,P3,path,hub,3,acyclic,2522.24,38.044,280018507,,2257866627,0,,8.063,ok
duck,P3,path,hub,4,acyclic,2185.948,59.066,244620200,,1594437276,0,,6.518,ok
duck,P3,path,hub,5,acyclic,2788.494,35.925,315452094,,2635786881,0,,8.356,ok
duck,P3,path,hub,6,acyclic,1984.93,37.187,221755661,,1678572807,0,,7.569,ok
duck,P3,path,hub,7,acyclic,2105.47,68.714,225889502,,1662021555,0,,7.358,ok
duck,P3,path,hub,8,acyclic,2164.102,23.694,248666855,,1816499907,0,,7.305,ok
duck,P3,path,hub,9,acyclic,1760.313,27.522,207054101,,1427545485,0,,6.895,ok
duck,P3,path,hub,10,acyclic,1892.927,9.612,216847911,,1719950937,0,,7.932,ok
duck,P3,path,hub,11,acyclic,2246.904,600.685,250041384,,2809575027,0,,11.236,ok
duck,P3,path,hub,12,acyclic,1272.858,65.887,150043071,,1404097878,0,,9.358,ok
duck,P3,path,hub,13,acyclic,1422.762,31.871,162909000,,1481337054,0,,9.093,ok
duck,P3,path,hub,14,acyclic,1386.578,31.494,141583509,,1708916769,0,,12.07,ok
duck,P3,path,hub,15,acyclic,1493.923,21.327,145076359,,1805465739,0,,12.445,ok
duck,P3,path,hub,16,acyclic,1044.139,4.781,102811762,,1380650271,0,,13.429,ok
duck,P3,path,hub,17,acyclic,1162.751,94.102,109011947,,1594437276,0,,14.626,ok
duck,P3,path,hub,18,acyclic,920.012,19.303,89618707,,1532370081,0,,17.099,ok
duck,P3,path,hub,19,acyclic,807.974,3.303,78681959,,1419269859,0,,18.038,ok
duck,P3,path,hub,20,acyclic,792.116,3.458,62212387,,1562714043,0,,25.119,ok
duck,T1,tri,uniform,1,cyclic,19.158,0.267,10418,,4237710.458,0,,406.768,ok
duck,T1,tri,uniform,2,cyclic,13.714,0.773,2,,566287.88,0,,283143.94,ok
duck,T1,tri,uniform,3,cyclic,14.603,0.766,272,,1650998.693,0,,6069.848,ok
duck,T1,tri,uniform,4,cyclic,13.7,0.342,132,,1387116.353,0,,10508.457,ok
duck,T1,tri,uniform,5,cyclic,15.359,0.237,2896,,3127427.037,0,,1079.913,ok
duck,T1,tri,uniform,6,cyclic,16.663,0.243,11342,,4161349.06,0,,366.897,ok
duck,T1,tri,uniform,7,cyclic,15.613,0.546,2550,,2859613.62,0,,1121.417,ok
duck,T1,tri,uniform,8,cyclic,19.164,0.879,11342,,4142038.751,0,,365.195,ok
